id;volume;client_account;entidade_account
1;33952;Reino;Genérico bottom-line Personal
2;78610;invoice;Customer invoice indexing
3;58390;visionary Reactive Cloned;calculating Bedfordshire Bedfordshire
4;96378;National;Mato
5;14302;JSON;Aço
6;18801;Chief Directives Casa;Checking client-driven
7;76452;turquesa Directives;discrete synthesize Pound
8;13824;Ergonômico;Reverse-engineered Salsicha Cadeira
9;57497;virtual services;Bebê Impressionante 24/7
10;15498;complexity instruction;Investor synthesizing neural
